ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
6/22/2025,1,Wonju,PlainWonju,White,L,TaoBao,Plain Wonju,¥58.00,$8.13,TRUE,8,8,tbPlainWonju,tbPlainWonjuWhiteL,,¥464.00,$65.08,1 unpacked
6/27/2025,1,Chupa,LhasaOG,Green,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGGreenL,,¥580.00,$81.35,
6/27/2025,1,Chupa,LhasaOG,Green,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGGreenXL,,¥580.00,$81.35,
6/27/2025,1,Chupa,LhasaOG,Blue,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGBlueXL,,¥580.00,$81.35,
6/27/2025,1,Chupa,LhasaOG,Blue,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGBlueL,,¥580.00,$81.35,
6/27/2025,1,Chupa,LhasaOG,Orange,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGOrangeXL,,¥580.00,$81.35,
6/27/2025,1,Chupa,LhasaOG,Orange,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.34,TRUE,4,4,dfLhasaOG,dfLhasaOGOrangeL,,¥580.00,$81.35,
6/27/2025,1,Jewelry,Knife,Girl,N/A,Gyencha,Girl's Decor Dagger,¥30.00,$4.21,TRUE,5,5,gcKnife,gcKnifeGirl,,¥150.00,$21.04,
6/27/2025,1,Jewelry,Ornament,Dropchain,N/A,Gyencha,Kapshop Ornament,¥26.00,$3.65,TRUE,10,10,gcOrnament,gcOrnamentDropchain,,¥260.00,$36.47,
6/27/2025,1,Jewelry,LapChain3,darksilverg,N/A,Gyencha,3 Chain Lap Rack,¥45.00,$6.31,TRUE,3,3,gcLapChain3,gcLapChain3darksilverg,,¥135.00,$18.93,
