SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
btfullGuchen,btfullGuchenBlackL,Black,L,1,Yangkar Chupa,Bhod Thakchen,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
dfLhasaOG,dfLhasaOGGreenL,Green,L,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,Re-purchase needed,
dfLhasaOG,dfLhasaOGGreenXL,Green,XL,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
dfLhasaOG,dfLhasaOGBlueXL,Blue,XL,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
dfLhasaOG,dfLhasaOGBlueL,Blue,L,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
dfLhasaOG,dfLhasaOGOrangeXL,Orange,XL,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
dfLhasaOG,dfLhasaOGOrangeL,Orange,L,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
ptlMetok,ptlMetokRedXL,Red,XL,6,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokRedL,Red,L,4,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBlueXL,Blue,XL,5,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBlueL,Blue,L,5,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBlackXXL,Black,XXL,6,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBlackXL,Black,XL,4,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokWhiteXL,White,XL,2,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokWhiteXXL,White,XXL,4,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBrownXXL,Brown,XXL,3,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlMetok,ptlMetokBrownXL,Brown,XL,3,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
