ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
10/30/2025,4,Wonju,BoldDhiWonju,Burgundy,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuBurgundyL,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,Burgundy,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBurgundyXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Burgundy,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBurgundyXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Pink,M,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuPinkM,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,Pink,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuPinkL,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,Pink,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPinkXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Pink,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPinkXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,White,M,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuWhiteM,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,White,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuWhiteL,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,White,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuWhiteXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,White,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuWhiteXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Orange,M,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuOrangeM,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Orange,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuOrangeL,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,Orange,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuOrangeXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Orange,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuOrangeXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Purple,M,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,2,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleM,,¥176.00,$25.04,
10/30/2025,4,Wonju,BoldDhiWonju,Purple,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,3,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleL,,¥264.00,$37.55,
10/30/2025,4,Wonju,BoldDhiWonju,Purple,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Purple,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuPurpleXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Blue,M,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,3,,rcBoldDhiWonju,rcBoldDhiWonjuBlueM,,¥264.00,$37.55,
10/30/2025,4,Wonju,BoldDhiWonju,Blue,L,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,3,,rcBoldDhiWonju,rcBoldDhiWonjuBlueL,,¥264.00,$37.55,
10/30/2025,4,Wonju,BoldDhiWonju,Blue,XL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBlueXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BoldDhiWonju,Blue,XXL,Ram's Clothing,Bold Dhi Wonju,¥88.00,$12.52,FALSE,1,,rcBoldDhiWonju,rcBoldDhiWonjuBlueXXL,,¥88.00,$12.52,
10/30/2025,4,Wonju,BrocadeSweatie,Coffee,M,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,2,,gpBrocadeSweatie,gpBrocadeSweatieCoffeeM,,¥298.00,$42.39,
10/30/2025,4,Wonju,BrocadeSweatie,Coffee,L,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,5,,gpBrocadeSweatie,gpBrocadeSweatieCoffeeL,,¥745.00,$105.97,
10/30/2025,4,Wonju,BrocadeSweatie,Coffee,XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,5,,gpBrocadeSweatie,gpBrocadeSweatieCoffeeXL,,¥745.00,$105.97,
10/30/2025,4,Wonju,BrocadeSweatie,Coffee,XXL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieCoffeeXXL,,¥447.00,$63.58,
10/30/2025,4,Wonju,BrocadeSweatie,Coffee,3XL,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,2,,gpBrocadeSweatie,gpBrocadeSweatieCoffee3XL,,¥298.00,$42.39,
10/30/2025,4,Wonju,BrocadeSweatie,Black,M,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,3,,gpBrocadeSweatie,gpBrocadeSweatieBlackM,,¥447.00,$63.58,
10/30/2025,4,Wonju,BrocadeSweatie,Black,L,G-Purple,Brocade Sweatshirt,¥149.00,$21.19,FALSE,4,,gpBrocadeSweatie,gpBrocadeSweatieBlackL,,¥596.00,$84.78,
