SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
,tbPlainWonjuBurgundyL,Burgundy,L,9,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBlueL,Blue,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuGreenL,Green,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
gcPachap,gcPachapMan,Man,N/A,0,,Gyencha,Jewelry,¥120.00,$16.67,$40.00,$23.33,240.01%,,Sold out,
gcsmallPachap,gcsmallPachapChain,Chain,N/A,0,Gachung Pachap,Gyencha,Jewelry,¥40.00,$5.56,$25.00,$19.44,450.03%,,,
gcOrnament,gcOrnamentDropchain,Dropchain,N/A,0,,Gyencha,Jewelry,¥13.00,$1.81,$20.00,$18.19,1107.76%,,,
gcGyenrak,gcGyenrakAllRound,AllRound,N/A,0,དབྱངས་དཀར་རྒྱན་རགས།,Gyencha,Jewelry,¥35.00,$4.86,$20.00,$15.14,411.45%,,,
gcLapChain3,gcLapChain3silverg,silverg,N/A,0,དངུལ་རག་ལུང་ཐག་གསུམ་ཅན​།,Gyencha,Jewelry,¥45.00,$6.25,$30.00,$23.75,480.03%,,,
gcLapChain2,gcLapChain2silverc,silverc,N/A,0,དངུལ་རག་ལུང་ཐག་གཉིས​་ཅན​།,Gyencha,Jewelry,¥25.00,$3.47,$25.00,$21.53,720.04%,,,
gcLulong,gcLulongHanging,Hanging,N/A,0,ཀླུ་ལོང།,Gyencha,Jewelry,¥80.00,$11.18,$40.00,$28.82,357.78%,,,one pair is $11.18
gclodee,gclodeeblackaddon,blackaddon,N/A,0,,Gyencha,Jewelry,¥13.00,$1.81,$20.00,$18.19,1107.76%,,,
gcSPinkap,gcSPinkapSmall,Small,N/A,0,,Gyencha,Jewelry,¥7.00,$0.97,$5.00,$4.03,514.32%,,,
gcBPinkap,gcBPinkapBig,Big,N/A,0,,Gyencha,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
gcCoralStack,gcCoralStackBlack,Black,N/A,0,,Gyencha,Jewelry,¥28.00,$3.89,$15.00,$11.11,385.74%,,,
,gcCoralStackWhite,White,N/A,0,,,Jewelry,¥28.00,$3.89,$15.00,$11.11,385.74%,,,
gcSweetSilv,gcSweetSilvCoral,Coral,N/A,0,དགའ་ཆུང་རྣ་ལོང། བྱུ་རུ།,Gyencha,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
,gcSweetSilvTurqouise,Turqouise,N/A,0,དགའ་ཆུང་རྣ་ལོང། བྱུ་རུ།,,Jewelry,¥8.00,$1.11,$8.00,$6.89,720.04%,,,
