SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
,,,,0,Plain Wonju,,Wonju,¥58.00,$8.13,$30.00,$21.87,368.79%,,,
gcsmallPachap,gcsmallPachapChain,Chain,N/A,7,Gachung Pachap,Gyencha,Jewelry,¥40.00,$5.61,$40.00,$34.39,713.00%,,Sold out,
gcLapChain2,#REF!,#REF!,#REF!,0,Single Lap Chain,#REF!,Jewelry,¥25.00,$3.51,$20.00,$16.49,570.40%,,,
gcLulong,gcLulongHanging,Hanging,N/A,5,Big Lulong Pair,Gyencha,Jewelry,¥80.00,$11.22,$40.00,$28.78,356.50%,,,one pair is $11.18
,gcLulongSWhite,,,,,,,,,,,,,,
,gcLulongMDark,,,,,,,,,,,,,,
,gcLulongMDarkGold,MDarkGold,N/A,0,Stack Coral Earring,Gyencha,Jewelry,¥28.00,$3.93,$15.00,$11.07,381.96%,,,
gcSweetSilv,gcSweetSilvCoral,Coral,N/A,10,Silver Gachung Earring,Gyencha,Jewelry,¥8.00,$1.12,$8.00,$6.88,713.00%,,,
,gcSweetSilvTurqouise,Turqouise,N/A,6,Silver Gachung Earring,Gyencha,Jewelry,¥8.00,$1.12,$8.00,$6.88,713.00%,,,
gcstackEarring,gcstackEarringRed3Stack,Red3Stack,N/A,1,Golden Dangle Earring,Gyencha,Jewelry,¥15.00,$2.10,$10.00,$7.90,475.33%,,,
,gcstackEarringBlue3Stack,Blue3Stack,N/A,1,Golden Dangle Earring,Gyencha,Jewelry,¥15.00,$2.10,$10.00,$7.90,475.33%,,,
gcSCharma,gcSCharmaSmallGold,SmallGold,N/A,0,Blue-Lined Charma,Gyencha,Jewelry,¥85.00,$11.92,$30.00,$18.08,251.65%,,,
gcBCharma,gcBCharmaBigSilver,BigSilver,N/A,2,Blue-Lined Charma,Gyencha,Jewelry,¥90.00,$12.62,$35.00,$22.38,277.28%,,,
gcroundEarring,gcroundEarringGolden Coral,Golden Coral,N/A,13,Golden Coral Button Earring,Gyencha,Jewelry,¥7.00,$0.98,$8.00,$7.02,814.86%,,,
dfCuffLink,dfCuffLinkPearlChain,PearlChain,N/A,19,Pearl Cuff Link,DeFish,Jewelry,¥0.00,$0.00,$2.00,$2.00,#DIV/0!,,,
blLhasaGuchen,,Black / Black / Orange / Orange / Brown / Brown / Burgundy / Burgundy / Green / Green / Blue / Blue / Orange,XL / L / XL / L / XL / L / XL / L / XL / L / XL / L / XL,0,Guchen Utsang Chupa,#N/A,Chupa,¥210.00,$29.45,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
gcKnife,,Girl / GirlGold / GirlSilver,N/A / N/A / N/A,-18,Girl's Decor Dagger,#N/A,Jewelry,¥30.00,$4.21,$20.00,$15.79,475.33%,,,
,,,,-18,,#N/A,,,,,,,,,
gclodeekapshop,gclodeekapshopblackaddon,blackaddon,N/A,6,Lodee Kapshop Add-on Pair,Gyencha,Jewelry,¥26.00,$3.65,$20.00,$16.35,548.46%,,,
gcBPinkap,gcBPinkapBig,Big,N/A,0,Pinkap,Gyencha,Jewelry,¥8.00,$1.12,$8.00,$6.88,713.00%,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
gcSPinkap,#REF!,#REF!,#REF!,0,Pinkap,#REF!,Jewelry,¥7.00,$0.98,$5.00,$4.02,509.29%,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
gcCoralStack,#REF!,#REF!,#REF!,0,Stack Coral Earring,#REF!,Jewelry,¥28.00,$3.93,$15.00,$11.07,381.96%,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
,,,,-18,,#N/A,,,,,,,,,
