ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
6/27/2025,1,Jewelry,lodeekapshop,blackaddon,N/A,Gyencha,Lodee Kapshop Addon Pair,¥26.00,$3.64,TRUE,6,6,gclodeekapshop,gclodeekapshopblackaddon,,¥156.00,$21.84,"* quantity pertains to pairs, reciept refers to individual"
6/27/2025,1,Jewelry,Pachap,Man,N/A,Gyencha,Phosar Mecha,¥120.00,$16.80,TRUE,5,5,gcPachap,gcPachapMan,,¥600.00,$84.01,
6/27/2025,1,Jewelry,SPinkap,Small,N/A,Gyencha,Pinkap,¥7.00,$0.98,TRUE,16,16,gcSPinkap,gcSPinkapSmall,,¥112.00,$15.68,
6/27/2025,1,Jewelry,BPinkap,Big,N/A,Gyencha,Pinkap,¥8.00,$1.12,TRUE,6,6,gcBPinkap,gcBPinkapBig,,¥48.00,$6.72,
6/27/2025,1,Jewelry,CoralStack,Black,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.92,TRUE,11,11,gcCoralStack,gcCoralStackBlack,,¥308.00,$43.13,
6/27/2025,1,Jewelry,CoralStack,White,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.92,TRUE,9,9,gcCoralStack,gcCoralStackWhite,,¥252.00,$35.29,
6/27/2025,1,Jewelry,SweetSilv,Coral,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvCoral,,¥96.00,$13.44,*pertain to pairs
6/27/2025,1,Jewelry,SweetSilv,Turqouise,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvTurqouise,,¥96.00,$13.44,*pertain to pairs
6/27/2025,1,Jewelry,roundEarring,Golden Coral,N/A,Gyencha,Golden Coral Button Earring,¥7.00,$0.98,TRUE,15,15,gcroundEarring,gcroundEarringGolden Coral,,¥105.00,$14.70,
6/27/2025,1,Jewelry,stackEarring,Red3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringRed3Stack,,¥15.00,$2.10,
6/27/2025,1,Jewelry,stackEarring,Blue3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringBlue3Stack,,¥15.00,$2.10,
7/10/2025,1,Jewelry,BCharma,BigSilver,N/A,Gyencha,Charma,¥90.00,$12.60,TRUE,3,3,gcBCharma,gcBCharmaBigSilver,,¥270.00,$37.81,
7/10/2025,1,Jewelry,SCharma,SmallGold,N/A,Gyencha,Charma,¥85.00,$11.90,TRUE,5,5,gcSCharma,gcSCharmaSmallGold,,¥425.00,$59.51,
6/22/2025,1,Wonju,Metok,Red,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,6,6,ptlMetok,ptlMetokRedXL,,¥318.00,$44.53,
6/22/2025,1,Wonju,Metok,Red,L,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,4,4,ptlMetok,ptlMetokRedL,,¥212.00,$29.68,
6/22/2025,1,Wonju,Metok,Blue,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,5,5,ptlMetok,ptlMetokBlueXL,,¥265.00,$37.11,
6/22/2025,1,Wonju,Metok,Blue,L,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,5,5,ptlMetok,ptlMetokBlueL,,¥265.00,$37.11,
6/22/2025,1,Wonju,Metok,Black,XXL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,6,6,ptlMetok,ptlMetokBlackXXL,,¥318.00,$44.53,
6/22/2025,1,Wonju,Metok,Black,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,4,4,ptlMetok,ptlMetokBlackXL,,¥212.00,$29.68,
6/22/2025,1,Wonju,Metok,White,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,2,2,ptlMetok,ptlMetokWhiteXL,,¥106.00,$14.84,
6/22/2025,1,Wonju,Metok,White,XXL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,4,4,ptlMetok,ptlMetokWhiteXXL,,¥212.00,$29.68,
6/22/2025,1,Wonju,Metok,Brown,XXL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,3,3,ptlMetok,ptlMetokBrownXXL,,¥159.00,$22.26,
6/22/2025,1,Wonju,Metok,Brown,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,3,3,ptlMetok,ptlMetokBrownXL,,¥159.00,$22.26,
6/22/2025,1,Chupa,Fold,BlackCream,XL,Phama Tsering Logya,Metok Fold Chupa,¥190.00,$26.60,TRUE,5,5,ptlFold,ptlFoldBlackCreamXL,,¥950.00,$133.02,
6/22/2025,1,Chupa,Fold,BlueCream,XL,Phama Tsering Logya,Metok Fold Chupa,¥190.00,$26.60,TRUE,5,5,ptlFold,ptlFoldBlueCreamXL,,¥950.00,$133.02,
6/22/2025,1,Chupa,Fold,RedBrown,XL,Phama Tsering Logya,Metok Fold Chupa,¥190.00,$26.60,TRUE,5,5,ptlFold,ptlFoldRedBrownXL,,¥950.00,$133.02,
6/22/2025,1,Wonju,PlainWonju,White,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuWhiteXL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Red,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuRedXL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Brown,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuBrownXL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Maroon,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,7,7,tbPlainWonju,tbPlainWonjuMaroonXL,,¥406.00,$56.85,1 is unpacked
6/27/2025,1,Wonju,PlainWonju,Blue,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuBlueXL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Green,XL,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuGreenXL,,¥464.00,$64.97,
6/22/2025,1,Wonju,PlainWonju,White,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuWhiteL,,¥464.00,$64.97,1 unpacked
6/27/2025,1,Wonju,PlainWonju,Red,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuRedL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Brown,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuBrownL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Maroon,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,9,9,tbPlainWonju,tbPlainWonjuMaroonL,,¥522.00,$73.09,
6/27/2025,1,Wonju,PlainWonju,Blue,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuBlueL,,¥464.00,$64.97,
6/27/2025,1,Wonju,PlainWonju,Green,L,TaoBao,Plain Wonju,¥58.00,$8.12,TRUE,8,8,tbPlainWonju,tbPlainWonjuGreenL,,¥464.00,$64.97,
6/27/2025,1,Jewelry,CuffLink,PearlChain,N/A,DeFish,Pearl Cuff Link,¥0.00,$0.00,TRUE,23,23,dfCuffLink,dfCuffLinkPearlChain,,¥0.00,$0.00,
7/28/2025,2,Chupa,LhasaGuchen,Black,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,6,6,blLhasaGuchen,blLhasaGuchenBlackXL,,"¥1,260.00",$176.43,
7/28/2025,2,Chupa,LhasaGuchen,Black,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,4,4,blLhasaGuchen,blLhasaGuchenBlackL,,¥840.00,$117.62,
7/28/2025,2,Chupa,LhasaGuchen,Orange,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,4,4,blLhasaGuchen,blLhasaGuchenOrangeXL,,¥840.00,$117.62,
7/28/2025,2,Chupa,LhasaGuchen,Orange,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,3,3,blLhasaGuchen,blLhasaGuchenOrangeL,,¥630.00,$88.21,
7/28/2025,2,Chupa,LhasaGuchen,Purple,XL,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,2,2,blLhasaGuchen,blLhasaGuchenPurpleXL,,¥420.00,$58.81,
7/28/2025,2,Chupa,LhasaGuchen,Purple,L,BhodLa,Guchen Utsang Chupa,¥210.00,$29.40,FALSE,2,2,blLhasaGuchen,blLhasaGuchenPurpleL,,¥420.00,$58.81,
